Company,Ticker,Sector,PE Ratio,52 Week High,52 Week Low,Avg Volume,Market Cap
"Agilent Technologies, Inc.",A,Healthcare,22.8922,155.35,96.43,2136795,28456130560
Alcoa Corporation,AA,Basic Materials,6.203209,47.77,21.53,5929036,6006132224
Ares Acquisition Corporation II,AACT,Financial Services,26.668571,11.22,10.58,800708,700049984
AA Mission Acquisition Corp.,AAM,Financial Services,,10.43,9.96,66322,455130912
Acadian Asset Management Inc.,AAMI,Financial Services,11.432432,31.52,21.45,222821,940742656
"Advance Auto Parts, Inc.",AAP,Consumer Cyclical,,79.41,28.89,2482296,1924830720
"American Assets Trust, Inc.",AAT,Real Estate,19.734041,29.15,16.69,408685,1434217344
AllianceBernstein Holding L.P.,AB,Financial Services,9.745282,41.37,30.57,861503,3996211968
AbbVie Inc.,ABBV,Healthcare,71.326355,218.66,153.58,7456272,3.01558E+11
Ameris Bancorp,ABCB,Financial Services,10.152215,74.56,45.89,455877,3639224320
Ambev S.A.,ABEV,Consumer Defensive,14.867499,2.56,1.76,33251093,37221560320
"Asbury Automotive Group, Inc.",ABG,Consumer Cyclical,9.941191,312.56,201.68,231606,4203504384
ABM Industries Incorporated,ABM,Industrials,35.61811,59.78,40.85,525990,2815037440
"Arbor Realty Trust, Inc.",ABR,Real Estate,9.072034,15.94,9.66,3855677,2028650880
Abbott Laboratories,ABT,Healthcare,16.91492,141.23,99.71,7624278,2.24126E+11
"Associated Capital Group, Inc.",AC,Financial Services,16.129808,43.848,28.58,6245,709662976
"Arcosa, Inc.",ACA,Industrials,39.14136,113.43,68.11,327178,3646478848
ACCO Brands Corporation,ACCO,Industrials,,6.44,3.47,917303,320752800
"Accel Entertainment, Inc.",ACEL,Consumer Cyclical,26.82927,12.96,9.015,409678,941172160
Archer Aviation Inc.,ACHR,Industrials,,12.475,2.821,28041955,3835208704
"Albertsons Companies, Inc.",ACI,Consumer Defensive,13.454268,23.2,17,6665821,12783997952
TCW AAA CLO ETF,ACLO,,,50.4,49.587,41983,
AECOM,ACM,Industrials,21.284065,118.56,82.23,1118609,12228710400
Accenture plc,ACN,Technology,22.91104,398.35,275.01,3613545,1.74123E+11
Abrdn Income Credit Strategies Fund,ACP,Financial Services,4.423387,7.03,4.92,687904,688208448
ACRES Commercial Realty Corp.,ACR,Real Estate,14.919393,23.81,12.33,38673,126864344
Ares Commercial Real Estate Corporation,ACRE,Real Estate,,7.99,3.35,675768,192822368
Virtus Diversified Income & Convertible Fund,ACV,Financial Services,4.064935,23.43,17,37059,194823728
ACV Auctions Inc.,ACVA,Consumer Cyclical,,23.456,11.88,2496693,2464414720
Agree Realty Corporation,ADC,Real Estate,44.126404,79.61,56.32,1212242,8459296256
ADC Therapeutics SA,ADCT,Healthcare,,5.17,1.05,401021,122368496
Archer-Daniels-Midland Company,ADM,Consumer Defensive,13.083562,66.08,40.98,4908916,22929850368
Adient plc,ADNT,Consumer Cyclical,,31.19,10.04,1712081,951796864
ADT Inc.,ADT,Industrials,11.628788,8.39,6.16,14630170,6500686848
"Adams Diversified Equity Fund, Inc.",ADX,Financial Services,3.8506496,22.63,16.5,301644,2091606016
Ameren Corporation,AEE,Utilities,21.87104,104.1,69.39,1994145,26116175872
,AEFC,,,22.9,19.48,55332,
Aegon Ltd.,AEG,Financial Services,14.464286,6.96,5.42,8469893,9730449408
Agnico Eagle Mines Limited,AEM,Basic Materials,32.371693,126.755,61.56,3095708,61567213568
"American Eagle Outfitters, Inc.",AEO,Consumer Cyclical,6.217262,25.15,9.45,6465814,1801908736
AerCap Holdings N.V.,AER,Industrials,8.755329,107.36,82.21,1781172,17645391872
The AES Corporation,AES,Utilities,4.0907173,22.21,9.57,15816022,6901947392
Atlas Energy Solutions Inc.,AESI,Energy,24.872726,26.86,12.41,1878206,2268636416
"AllianceBernstein National Municipal Income Fund, Inc.",AFB,Financial Services,4.71831,11.95,9.78,78495,288886240
"American Financial Group, Inc.",AFG,Financial Services,11.868496,150.19,114.73,597490,10496212992
,AFGB,,,25.27,20.68,13080,
"American Financial Group, Inc.",AFGC,,,23.42,18.2,8590,18304420
"American Financial Group, Inc.",AFGD,,,25.61,18.19,10332,
"American Financial Group, Inc.",AFGE,,,21.21,16.26,9795,
Aflac Incorporated,AFL,Financial Services,10.909657,115.5,80.59,2090465,57343320064
First Majestic Silver Corp.,AG,Basic Materials,,8.09,4.43,20823154,3091932160
AGCO Corporation,AGCO,Industrials,,121.49,73.79,976396,5944558592
abrdn Global Dynamic Dividend,AGD,Financial Services,4.3096333,10.68,8.46,113663,233607632
Alamos Gold Inc.,AGI,Basic Materials,42.449276,31,14.31,3410270,12316796928
"agilon health, inc.",AGL,Healthcare,,7.73,1.5,6046616,1731672576
Federal Agricultural Mortgage Corporation,AGM,Financial Services,10.414486,217.6,159.64,38990,1793113088
Assured Guaranty Ltd.,AGO,Financial Services,11.998545,96.5,72.57,343486,4116455424
Adecoagro S.A.,AGRO,Consumer Defensive,12.655557,12.08,8.72,850270,1139615104
"PlayAGS, Inc.",AGS,Consumer Cyclical,10.037499,12.16,8.23,445413,496957440
"Argan, Inc.",AGX,Industrials,21.46179,191.46,60.03,458362,1799578112
"Armada Hoffler Properties, Inc.",AHH,Real Estate,19.720589,12.46,6.1,1065845,679350592
"American Healthcare REIT, Inc.",AHR,Real Estate,,31.609,13.02,1850827,4720264192
"Ashford Hospitality Trust, Inc.",AHT,Real Estate,,13.9,5.2,30481,35427872
"C3.ai, Inc.",AI,Technology,,45.08,17.03,4625893,2524695808
TCW Artificial Intelligence ETF,AIFD,,29.961407,31.84,20,18847,
"American International Group, Inc.",AIG,Financial Services,19.550367,88.07,69,5305349,46450814976
Albany International Corp.,AIN,Consumer Cyclical,22.046429,95.47,57.71,241624,1888950272
Virtus Artificial Intelligence & Technology Opportunities Fund,AIO,,4.0412316,25.69,16.177,112527,654666112
AAR Corp.,AIR,Industrials,,76.34,46.51,275044,1852305408
"Applied Industrial Technologies, Inc.",AIT,Industrials,21.66734,282.98,177.68,353757,8223871488
Apartment Investment and Management Company,AIV,Real Estate,,9.49,6.89,1019390,1086055168
"Assurant, Inc.",AIZ,Financial Services,12.739972,230.55,160.12,497506,9370884096
,AIZN,,,23.14,18.01,20914,
Arthur J. Gallagher & Co.,AJG,Financial Services,49.372883,350.7,232.27,1604362,81945165824
a.k.a. Brands Holding Corp.,AKA,Consumer Cyclical,,33.728,8.03,13070,85866392
Acadia Realty Trust,AKR,Real Estate,102.42105,26.29,16.14,1148963,2522677504
