Company,Ticker,Sector,PE Ratio,Avg Volume,Market Cap,52 Week Range,Cluster
"Agilent Technologies, Inc.",A,Healthcare,22.8922,2136795.0,28456130560.0,1.6110131701752566,0
Alcoa Corporation,AA,Basic Materials,6.203209,5929036.0,6006132224.0,2.218764514630748,0
Ares Acquisition Corporation II,AACT,Financial Services,26.668571,800708.0,700049984.0,1.060491493383743,4
Acadian Asset Management Inc.,AAMI,Financial Services,11.432432,222821.0,940742656.0,1.4694638694638695,4
"American Assets Trust, Inc.",AAT,Real Estate,19.734041,408685.0,1434217344.0,1.7465548232474533,0
AllianceBernstein Holding L.P.,AB,Financial Services,9.745282,861503.0,3996211968.0,1.353287536800785,4
AbbVie Inc.,ABBV,Healthcare,71.326355,7456272.0,301558000000.0,1.4237530928506315,2
Ameris Bancorp,ABCB,Financial Services,10.152215,455877.0,3639224320.0,1.6247548485508825,4
Ambev S.A.,ABEV,Consumer Defensive,14.867499,33251093.0,37221560320.0,1.4545454545454546,5
"Asbury Automotive Group, Inc.",ABG,Consumer Cyclical,9.941191,231606.0,4203504384.0,1.5497818326061086,0
ABM Industries Incorporated,ABM,Industrials,35.61811,525990.0,2815037440.0,1.4634026927784578,0
"Arbor Realty Trust, Inc.",ABR,Real Estate,9.072034,3855677.0,2028650880.0,1.650103519668737,0
Abbott Laboratories,ABT,Healthcare,16.91492,7624278.0,224126000000.0,1.4164075819877644,2
"Associated Capital Group, Inc.",AC,Financial Services,16.129808,6245.0,709662976.0,1.534219734079776,4
"Arcosa, Inc.",ACA,Industrials,39.14136,327178.0,3646478848.0,1.665394215240053,0
"Accel Entertainment, Inc.",ACEL,Consumer Cyclical,26.82927,409678.0,941172160.0,1.437603993344426,0
"Albertsons Companies, Inc.",ACI,Consumer Defensive,13.454268,6665821.0,12783997952.0,1.3647058823529412,0
AECOM,ACM,Industrials,21.284065,1118609.0,12228710400.0,1.4418095585552717,0
Accenture plc,ACN,Technology,22.91104,3613545.0,174123000000.0,1.4484927820806517,2
Abrdn Income Credit Strategies Fund,ACP,Financial Services,4.423387,687904.0,688208448.0,1.4288617886178863,4
ACRES Commercial Realty Corp.,ACR,Real Estate,14.919393,38673.0,126864344.0,1.9310624493106243,0
Virtus Diversified Income & Convertible Fund,ACV,Financial Services,4.064935,37059.0,194823728.0,1.378235294117647,4
Agree Realty Corporation,ADC,Real Estate,44.126404,1212242.0,8459296256.0,1.4135298295454546,0
Archer-Daniels-Midland Company,ADM,Consumer Defensive,13.083562,4908916.0,22929850368.0,1.6124938994631528,0
ADT Inc.,ADT,Industrials,11.628788,14630170.0,6500686848.0,1.3620129870129871,0
"Adams Diversified Equity Fund, Inc.",ADX,Financial Services,3.8506496,301644.0,2091606016.0,1.3715151515151514,4
Ameren Corporation,AEE,Utilities,21.87104,1994145.0,26116175872.0,1.5002161694768699,0
Aegon Ltd.,AEG,Financial Services,14.464286,8469893.0,9730449408.0,1.2841328413284132,4
Agnico Eagle Mines Limited,AEM,Basic Materials,32.371693,3095708.0,61567213568.0,2.05904808317089,0
"American Eagle Outfitters, Inc.",AEO,Consumer Cyclical,6.217262,6465814.0,1801908736.0,2.6613756613756614,0
AerCap Holdings N.V.,AER,Industrials,8.755329,1781172.0,17645391872.0,1.3059238535457975,0
The AES Corporation,AES,Utilities,4.0907173,15816022.0,6901947392.0,2.3207941483803554,5
Atlas Energy Solutions Inc.,AESI,Energy,24.872726,1878206.0,2268636416.0,2.1643835616438354,0
"AllianceBernstein National Municipal Income Fund, Inc.",AFB,Financial Services,4.71831,78495.0,288886240.0,1.221881390593047,4
"American Financial Group, Inc.",AFG,Financial Services,11.868496,597490.0,10496212992.0,1.3090734768587118,4
Aflac Incorporated,AFL,Financial Services,10.909657,2090465.0,57343320064.0,1.433180295322,4
abrdn Global Dynamic Dividend,AGD,Financial Services,4.3096333,113663.0,233607632.0,1.2624113475177303,4
Alamos Gold Inc.,AGI,Basic Materials,42.449276,3410270.0,12316796928.0,2.166317260656883,0
Federal Agricultural Mortgage Corporation,AGM,Financial Services,10.414486,38990.0,1793113088.0,1.363066900526184,4
Assured Guaranty Ltd.,AGO,Financial Services,11.998545,343486.0,4116455424.0,1.3297505856414498,4
Adecoagro S.A.,AGRO,Consumer Defensive,12.655557,850270.0,1139615104.0,1.385321100917431,0
